DATE,TAG,POSTS
2008-07-01 00:00:00,c#,3
2008-08-01 00:00:00,assembly,8
2008-08-01 00:00:00,javascript,162
2008-08-01 00:00:00,c,85
2008-08-01 00:00:00,python,124
2008-08-01 00:00:00,java,156
2008-08-01 00:00:00,php,89
2008-08-01 00:00:00,c++,45
2008-09-01 00:00:00,c#,245
2008-09-01 00:00:00,assembly,12
2008-09-01 00:00:00,javascript,312
2008-09-01 00:00:00,c,156
2008-09-01 00:00:00,python,234
2008-09-01 00:00:00,java,298
2008-09-01 00:00:00,php,178
2008-09-01 00:00:00,c++,89
2008-09-01 00:00:00,perl,23
2008-09-01 00:00:00,ruby,45
2008-10-01 00:00:00,c#,456
2008-10-01 00:00:00,assembly,18
2008-10-01 00:00:00,javascript,567
2008-10-01 00:00:00,c,234
2008-10-01 00:00:00,python,389
2008-10-01 00:00:00,java,445
2008-10-01 00:00:00,php,267
2008-10-01 00:00:00,c++,134
2008-10-01 00:00:00,perl,34
2008-10-01 00:00:00,ruby,67
2008-10-01 00:00:00,r,12
2009-01-01 00:00:00,c#,678
2009-01-01 00:00:00,assembly,25
2009-01-01 00:00:00,javascript,789
2009-01-01 00:00:00,c,345
2009-01-01 00:00:00,python,567
2009-01-01 00:00:00,java,678
2009-01-01 00:00:00,php,389
2009-01-01 00:00:00,c++,234
2009-01-01 00:00:00,perl,45
2009-01-01 00:00:00,ruby,89
2009-01-01 00:00:00,r,23
2010-01-01 00:00:00,c#,890
2010-01-01 00:00:00,assembly,34
2010-01-01 00:00:00,javascript,1234
2010-01-01 00:00:00,c,456
2010-01-01 00:00:00,python,789
2010-01-01 00:00:00,java,890
2010-01-01 00:00:00,php,567
2010-01-01 00:00:00,c++,345
2010-01-01 00:00:00,perl,67
2010-01-01 00:00:00,ruby,123
2010-01-01 00:00:00,r,45
